                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                 1.0006,                 1.4084,                 1.3952,                0.52703,                0.16667,                0.02211,                0.00221,                 3.4262,                 4.7156,                 2.3351,              0.0015746,              0.0015746,              0.0015746
                     58,                 1.0545,                 1.4317,                 1.4446,                0.00097,                0.16667,                0.00077,                0.00031,                 3.4611,                 5.3247,                 2.9236,              0.0015729,              0.0015729,              0.0015729
                     59,                 1.1701,                 1.4913,                 1.4738,                0.00324,                    0.5,                   0.01,                0.00124,                 3.1896,                 5.1575,                 2.5788,              0.0015713,              0.0015713,              0.0015713
                     60,                 1.1235,                 1.3963,                 1.4386,                0.03709,                0.16667,                0.07867,                0.02173,                 3.1789,                 4.8974,                 2.5077,              0.0015696,              0.0015696,              0.0015696
                     61,                 1.2532,                 1.5366,                 1.5902,                0.03709,                0.16667,                0.07867,                0.02173,                 3.1789,                 4.8974,                 2.5077,               0.001568,               0.001568,               0.001568
                     62,                 1.2034,                 1.5501,                 1.5215,                0.47296,                0.16667,                0.16901,                0.04376,                 3.6531,                 5.0285,                 2.5774,              0.0015663,              0.0015663,              0.0015663
                     63,                 1.1109,                  1.363,                 1.5054,                0.57887,                0.16667,                0.19802,                0.08752,                 3.5337,                 4.3171,                 2.0093,              0.0015647,              0.0015647,              0.0015647
                     64,                 1.0497,                 1.3034,                 1.4825,                 0.6141,                0.33333,                0.15382,                0.03527,                  3.011,                 4.3632,                 1.8437,               0.001563,               0.001563,               0.001563
                     65,                 1.1134,                 1.4347,                  1.518,                 0.6141,                0.33333,                0.15382,                0.03527,                  3.011,                 4.3632,                 1.8437,              0.0015614,              0.0015614,              0.0015614
                     66,                 1.2013,                 1.4634,                 1.5609,                0.61376,                0.79649,                0.48696,                0.12559,                 2.8386,                 3.2283,                 1.9181,              0.0015597,              0.0015597,              0.0015597
                     67,                 1.0734,                   1.35,                  1.481,                0.46352,                0.81998,                0.52874,                0.20215,                 2.6713,                   3.21,                 1.3642,              0.0015581,              0.0015581,              0.0015581
                     68,                 1.0791,                 1.4081,                 1.4448,                0.61529,                0.49246,                0.37639,                0.22093,                 2.7637,                 2.9308,                 1.6728,              0.0015564,              0.0015564,              0.0015564
                     69,                 1.1035,                 1.3477,                 1.4649,                0.61529,                0.49246,                0.37639,                0.22093,                 2.7637,                 2.9308,                 1.6728,              0.0015548,              0.0015548,              0.0015548
                     70,                 1.0207,                 1.2228,                 1.4618,                0.45136,                0.33333,                0.23319,                0.13662,                 2.9779,                 3.1524,                 2.3124,              0.0015531,              0.0015531,              0.0015531
                     71,                 1.1121,                 1.2731,                   1.51,                0.52721,                    0.5,                0.43101,                0.13778,                 3.0133,                 2.9413,                 2.5503,              0.0015515,              0.0015515,              0.0015515
                     72,                0.97984,                 1.1516,                 1.5205,                0.51063,                0.62552,                0.47609,                0.12651,                 3.0605,                 3.2967,                 2.2899,              0.0015498,              0.0015498,              0.0015498
                     73,                 1.0416,                 1.2491,                 1.4339,                0.51063,                0.62552,                0.47609,                0.12651,                 3.0605,                 3.2967,                 2.2899,              0.0015482,              0.0015482,              0.0015482
